courseragetandcleandataproject
==============================
"activity" "subject" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
"1" "WALKING" 1 0.278086108 -0.0173113732957895 -0.112625787957895 -0.296854495263158 0.0934516214631579 -0.271611934736842 0.904344392421053 -0.267023018694737 -0.0595105671052632 -0.976008947684211 -0.971305244210526 -0.945736441052632 0.0713175708842105 0.0225795119042105 -0.00497492570736842 -0.130947686014737 0.0464355427157895 -0.511930646105263 -0.0423856847986316 -0.0697191622894737 0.0850746595147368 -0.483798212526316 -0.0741101702805263 -0.357805034315789 -0.09216580636 -0.0375841850094737 -0.0455098873757895 -0.222776321178947 -0.318905622631579 -0.416135420631579 -0.152102902977895 -0.233194773 -0.152102902977895 -0.233194773 -0.157845753557895 -0.0927633320098947 -0.177104077484211 -0.204398534736842 -0.312611759610526 -0.339662646052632 -0.218122602221053 0.0695189009073684 -0.342638589263158 -0.331284671473684 0.0359869822986316 -0.290704097073684 -0.187015966865368 -0.0532292795025368 -0.478813585368421 -0.150293252221053 0.084818474336 -0.543376295368421 -0.351596356589474 -0.122273964855789 -0.271305276842105 -0.526220459894737 -0.0530476307042105 -0.448209954421053 -0.143669858945263 -0.408571705473684 -0.0753711816448421 -0.121696059823158 -0.216753894670526 -0.335325256631579 -0.333550590515789 -0.395055108526316
"2" "WALKING_UPSTAIRS" 1 0.252414391509434 -0.0218891037322642 -0.0975953076603774 -0.339325376358491 -0.00379639328113208 -0.0301000969603774 0.895323610377359 -0.358021561132075 -0.0747840695849057 -0.955293218301887 -0.951069370943396 -0.911771668490566 0.113080166149057 0.0108955817698113 -0.0552944300056604 -0.433899245377358 -0.371271493773585 -0.692214374528302 0.0735879454150943 -0.183905946032075 0.0592563547377358 -0.544567275283019 -0.00450966827735849 -0.491108864754717 -0.129359924143396 -0.0304816589603774 -0.0394522563315094 -0.612561794528302 -0.592810171509434 -0.593601789433962 -0.122505905301887 -0.316454058471698 -0.122505905301887 -0.316454058471698 -0.452384200075472 -0.470339239509434 -0.126279083177359 -0.15400122050566 -0.586093978867925 -0.64173427490566 -0.390148836320755 -0.188359969490566 -0.427175724716981 -0.321469587264151 0.0181486393169811 0.0687787025735849 -0.467812047396226 -0.406990742075472 -0.670999067735849 -0.449127105207547 -0.374628438867925 -0.711700951132075 -0.49336841490566 -0.313051515849057 -0.437653376301887 -0.565199216415094 0.136060287075472 -0.556971186226415 -0.343318951283019 -0.409321893396226 -0.432461628433962 -0.526540667169811 -0.324081731924528 -0.192566014679245 -0.626523080566038 -0.689492457169811
"3" "WALKING_DOWNSTAIRS" 1 0.290330761020408 -0.0122419769204082 -0.104438722459184 0.00547887253206122 -0.0213433005918367 -0.226115555346939 0.930853837959184 -0.269870233469388 -0.0633358369816327 -0.952146393265306 -0.939476950408163 -0.898490613877551 0.0749626237755102 0.0428542594489796 -0.0109086676510204 -0.0254672631142857 -0.096998829722449 -0.364664971714286 -0.062966729627551 -0.0709275071346939 0.0871926267336735 -0.450657867428571 -0.115963903 -0.141447469304082 -0.0668996672189796 -0.0538254896020408 -0.0297953153102041 -0.474647783265306 -0.243560589571429 -0.283008603304082 0.0142388576861224 0.00643664523877551 0.0142388576861224 0.00643664523877551 -0.100868308063265 -0.0360208053612245 -0.0776582168163265 -0.211762521734694 -0.299061109673469 -0.308345445530612 0.0145977826408163 0.00536447073387755 -0.235603334755102 -0.000714217024489797 -0.0994696047897959 -0.286970606122449 -0.0423593751632653 -0.127520443526531 -0.308439535306122 -0.0965614708034694 -0.126635210387755 -0.419510637346939 -0.345095076057143 -0.0562492266122449 -0.0481428168714286 -0.488025982632653 -0.165631433208163 -0.253878010816327 0.0820284948142857 -0.197298606787755 0.0125613879938776 -0.109569951338776 -0.179643731867347 -0.380209998489796 -0.285774263463265 -0.390744849877551
"4" "SITTING" 1 0.261417632659574 -0.00140613311978723 -0.104545067787234 -0.977379374680851 -0.923415379361702 -0.939675515319149 0.815685315829787 0.19621778012766 0.322166630895745 -0.96852305106383 -0.936105593191489 -0.94911105787234 0.0775769950212766 -0.000613220934042554 -0.00375512050638298 -0.986643865106383 -0.981451672765957 -0.987885995319149 -0.0453669593638298 -0.0915588144255319 0.063275146106383 -0.97721297 -0.967087360212766 -0.942052389787234 -0.0935248717446809 -0.0389915712765957 -0.0458931326170213 -0.991698634893617 -0.989683773404255 -0.988059726170213 -0.948884382978723 -0.927210715957447 -0.948884382978723 -0.927210715957447 -0.987445949361702 -0.984165703617021 -0.931022178723404 -0.935499159361702 -0.992019619787234 -0.988572674680851 -0.979888539148936 -0.94448994 -0.95926190106383 -0.976505100851064 -0.91822888106383 -0.934543451702128 -0.98683990212766 -0.981638683404255 -0.986077986170213 -0.987648864468085 -0.982615505957447 -0.988248981914894 -0.976261365319149 -0.976673500212766 -0.952055457659574 -0.977866992765957 -0.962789002765957 -0.944440008510638 -0.947842805744681 -0.928621668510638 -0.985288846808511 -0.981688801276596 -0.959564660212766 -0.932854759574468 -0.989999382978723 -0.98738919
"5" "STANDING" 1 0.278017199038462 -0.0168005909519231 -0.110730566153846 -0.983095201153846 -0.956956014807692 -0.961415955673077 0.942260230384615 -0.273287213653846 0.0136873454807692 -0.993265885769231 -0.980667331153846 -0.974010097115385 0.0657422999038462 0.0129895376 -0.00104139034607692 -0.982687030769231 -0.973279406153846 -0.987637383461539 -0.0281043934094231 -0.0562242509038462 0.0745122913653846 -0.980551110769231 -0.969401966557692 -0.972583883461538 -0.094476727 -0.0448184835961538 -0.0509274009538462 -0.986627765 -0.989093705 -0.98404245 -0.968516368846154 -0.967677812307692 -0.968516368846154 -0.967677812307692 -0.982910469038462 -0.979527019423077 -0.960974393846154 -0.966107496346154 -0.988631224230769 -0.988474056923077 -0.980616106538462 -0.961227936730769 -0.974796620576923 -0.984228130961538 -0.956891444615385 -0.957541816038462 -0.982467611923077 -0.973594980961539 -0.985590677884615 -0.9845513925 -0.974874622692308 -0.988291969038462 -0.976764565576923 -0.977754735 -0.970582505769231 -0.981847784230769 -0.965650393653846 -0.97586461 -0.970109149230769 -0.970861795 -0.978689970192308 -0.979411528076923 -0.974851155961538 -0.966262622115385 -0.988838335576923 -0.988485616923077
"6" "LAYING" 1 0.22289786514 -0.0404397372894 -0.11196461938 -0.9289358514 -0.83740701902 -0.831269647628 -0.17525511076 0.68351359898 0.4407987132 -0.898914591 -0.90826533776 -0.85756451062 0.0804354785 0.0031286215488 0.0083652999138 -0.958577056 -0.9240673758 -0.9549875374 -0.015607268278 -0.064787621568 0.14808486276 -0.87392457642 -0.950504339 -0.908165663 -0.107142694232 -0.04269996059 -0.07536091164 -0.918841501 -0.9677582936 -0.9578902742 -0.8442484319 -0.79893425806 -0.8442484319 -0.79893425806 -0.9545033874 -0.9283054372 -0.8756051372 -0.81864754036 -0.963518081 -0.9357761476 -0.9396973894 -0.86755285578 -0.8858913296 -0.9254394068 -0.8342002197 -0.81863879164 -0.9571350602 -0.9223830146 -0.9481313764 -0.9642902208 -0.9321393692 -0.9607984724 -0.850661608586 -0.9513875582 -0.909234207 -0.8826743986 -0.950810977 -0.9164532878 -0.8646439571 -0.801924026 -0.9333772854 -0.9218369072 -0.8615136554 -0.82425857828 -0.942360323 -0.9325165828
"7" "WALKING" 2 0.277088800847458 -0.0187498794925424 -0.105640646322034 -0.440628447457627 -0.107399885311864 -0.443611368135593 0.867757177627119 -0.308205951694915 0.102770143169492 -0.972922046779661 -0.972724927966102 -0.972246642372881 0.0568524201025424 0.0180730928372881 0.0056343537440678 -0.301225534654237 -0.0483793179288136 -0.598316408813559 -0.0531610902601695 -0.0481202287457627 0.0826145082542373 -0.574625390847458 -0.552365335084746 -0.495473005423729 -0.088039770440678 -0.0507730299237288 -0.0496386044966102 -0.406449347627119 -0.646016705084746 -0.451551815762712 -0.312045814576271 -0.440927832372881 -0.312045814576271 -0.440927832372881 -0.303342420830508 -0.193569402991525 -0.462560042033898 -0.566188709661017 -0.561150452542373 -0.571925461186441 -0.366871287118644 -0.0525455860271186 -0.469892786610169 -0.472922940508475 -0.195899886372881 -0.473335928305085 -0.328090225254237 -0.108012036033898 -0.567733434745763 -0.336091845101695 -0.0477611730762712 -0.627580511864407 -0.447349037118644 -0.568677866949153 -0.414800123220339 -0.615637302711864 -0.546802048474576 -0.571482563728814 -0.345428273864407 -0.590874566610169 -0.197408970101695 -0.194500219533898 -0.544605271525424 -0.66200508661017 -0.596330831355932 -0.572537346779661
"8" "WALKING_UPSTAIRS" 2 0.247317622270833 -0.02060422812125 -0.153977710875 -0.288349896333333 0.11841938043125 -0.113892026220833 0.794425778958333 -0.412595915 -0.190511211141667 -0.933367702708333 -0.922168352708333 -0.877042411041667 0.074338086040625 0.00447555198166667 0.0205268002083333 -0.2608103945625 -0.168424341054167 -0.568644706875 -0.0252016278333333 -0.05836060890625 0.0492109246666667 -0.433555934166667 -0.464103333541667 -0.164466727783333 -0.0804874982583333 -0.0325163010125 -0.0363731669541667 -0.4530847345625 -0.637098005 -0.456289371166667 -0.0970699739375 -0.1886838525875 -0.0970699739375 -0.1886838525875 -0.306128181041667 -0.205679126935417 -0.2166450656875 -0.3763486084375 -0.563177255 -0.589592709583333 -0.254445284770833 0.0230612400477083 -0.27721180999375 -0.303014052895833 0.0931313005458333 -0.0990175803895833 -0.245132851604167 -0.170735957941667 -0.515335794583333 -0.349363673541667 -0.227435224 -0.622453003958333 -0.3230039671875 -0.482628010625 -0.243041431104167 -0.471569328125 -0.460003012291667 -0.2209709885625 -0.12789064346875 -0.352161621752083 -0.176076196797917 -0.251047697479167 -0.447153476875 -0.439471429375 -0.5938423025 -0.613768452666667
"9" "WALKING_DOWNSTAIRS" 2 0.277845430617021 -0.0223102570680851 -0.116520217851064 0.0222503547212766 0.244558988057447 -0.118738646361702 0.865076714042553 -0.327603099787234 -0.0336940374851064 -0.941373723617021 -0.941954421276596 -0.933049775744681 0.110150054931277 -0.00383853360212766 -0.0107142879468085 0.124626994089362 0.116400561259574 -0.351437526808511 -0.132825384297872 0.00678901342553192 0.102275019885106 -0.330314296391489 -0.421314961702128 -0.291495701021277 -0.0466836132765957 -0.0536380227106383 -0.0711419439021277 -0.262205387468085 -0.480804303659574 -0.236214633159574 0.0687989960297872 0.187392898080851 0.0687989960297872 0.187392898080851 -0.0142875840957447 0.21665192606383 -0.178142025419787 -0.284233295212766 -0.425306841489362 -0.355332631148936 0.093229956112766 0.260812660829787 -0.147839263914894 -0.00998920845957447 0.154369433595745 -0.176328367691489 0.116692037682979 0.0831000875489362 -0.285844459617021 0.028058355887234 0.0742489502978723 -0.41626688212766 -0.160475791746809 -0.371923611021277 -0.1042312868 -0.387224190319149 -0.461114454893617 -0.431988748085106 0.26490652552766 -0.0452019780851064 0.205568356385106 0.219358711521277 -0.330992643340426 -0.379715005787234 -0.391629733510638 -0.355805214617021
"10" "SITTING" 2 0.277310334782609 -0.0153677742608696 -0.109197010913043 -0.986625811956522 -0.950372250652174 -0.960371275 0.937612499782609 -0.117089465150957 0.197068432326087 -0.979638171086956 -0.956116096956522 -0.954894742391304 0.0721006961956522 0.0123401056193478 0.00919417430521739 -0.988094886086957 -0.97805862173913 -0.987367239782609 -0.0457490607391304 -0.0591339783565217 0.0406901751086957 -0.984563499347826 -0.978677946521739 -0.959285835217391 -0.0956000779782609 -0.0413125967173913 -0.04339201365 -0.98916233826087 -0.99068377673913 -0.985584850652174 -0.967893897391304 -0.95289518 -0.967893897391304 -0.95289518 -0.986793428913043 -0.984316500652174 -0.945715025 -0.95957222326087 -0.990945437608696 -0.989164188695652 -0.985599142608696 -0.957342509782609 -0.97010651173913 -0.987174095217391 -0.949595135217391 -0.957725098043478 -0.987865605217391 -0.977218796086956 -0.984918923043478 -0.989525743695652 -0.980871032608696 -0.98848780673913 -0.98087037673913 -0.981756886521739 -0.95945492 -0.985831389130435 -0.977166389130435 -0.962992688478261 -0.961064078913043 -0.955436330434783 -0.983706268695652 -0.983967981086956 -0.97028897826087 -0.959825300652174 -0.989459769782609 -0.989199614565217
